Uncurated-gene-id	Uncurated-gene-uniprot-id	Uncurated-gene-synonims	Biocyc-gene-sinomys	Pathway-Biocyc-label	Pathway-Biocyc-id	Reaction-Biocyc-label	Reaction-Biocyc-id	EV-COMP-HINF-SEQ-ORTHOLOGY	EV-EXP-IDA-UNPURIFIED-PROTEIN-NH	EV-EXP-IDA-PART-PURIFIED-PROTEIN-HH	EV-EXP-TAS	EV-EXP-IDA-PURIFIED-PROTEIN	EV-AS-TAS	EV-EXP-IDA-PURIFIED-PROTEIN-NH	EV-COMP-HINF-ORTHOLOGY-EXP	EV-EXP-IDA-PURIFIED-PROTEIN-HH	EV-COMP-HINF-FN-FROM-SEQ	EV-COMP-AINF	EV-EXP-IDA-UNPURIFIED-PROTEIN	EV-EXP-IMP	EV-EXP-IMP-REACTION-ENHANCED	EV-EXP-IMP-REACTION-BLOCKED	EV-EXP-IDA-PART-PURIFIED-PROTEIN-NH	EV-EXP-IPI	EV-EXP-IGI-FUNC-COMPLEMENTATION	EV-EXP-IDA	EV-EXP-IDA-UNPURIFIED-PROTEIN-HH
PTP4A1	Q93096	['PTP4A1', 'PRL1', 'PTPCAAX1']	['PTP4A1', 'PRL1', 'PTPCAAX1']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
PRKCDBP	Q969G5	['PRKCDBP', 'SRBC']	['PRKCDBP', 'SRBC']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TOP1MT	Q969P6	['TOP1MT']	['TOP1MT']			5.99.1.2-RXN	5.99.1.2-RXN																				
NTAN1	Q96AB6	['NTAN1']	['NTAN1']	N-end rule pathway I (eukaryotic)	PWY-7799	RXN-17849	RXN-17849									RXN-17849											
FKBP10	Q96AY3	['FKBP10', 'FKBP65', 'PSEC0056']	['FKBP10', 'FKBP65', 'PSEC0056']			PEPTIDYLPROLYL-ISOMERASE-RXN	PEPTIDYLPROLYL-ISOMERASE-RXN																				
NACC2	Q96BF6	['NACC2', 'BTBD14A', 'NAC2', 'RBB']	['SCN2A', 'NAC2', 'SCN2A1', 'SCN2A2']			TRANS-RXN66-566	TRANS-RXN66-566											TRANS-RXN66-566									
PTER	Q96BW5	['PTER']	['PTER', 'RPR-1']			ARYLDIALKYL-PHOSPHATASE-RXN,RXN-8743,RXN-8746,Aminoparathion hydrolase,ARYLDIALKYLPHOSPHATASE-RXN	ARYLDIALKYL-PHOSPHATASE-RXN,RXN-8743,RXN-8746,AMINOPARATHION-PHOSPHATASE-RXN,ARYLDIALKYLPHOSPHATASE-RXN																				
FGGY	Q96C11	['FGGY']	['FGGY']			D-RIBULOKIN-RXN	D-RIBULOKIN-RXN									D-RIBULOKIN-RXN											
GALM	Q96C23	['GALM', 'BLOCK25']	['GALM', 'BLOCK25']	D-galactose degradation V (Leloir pathway)	PWY66-422	ALDOSE1EPIM-RXN,ALDOSE-1-EPIMERASE-RXN	ALDOSE1EPIM-RXN,ALDOSE-1-EPIMERASE-RXN									ALDOSE-1-EPIMERASE-RXN										ALDOSE1EPIM-RXN	
ULK4	Q96C45	['ULK4']	['ULK4']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
ROPN1L	Q96C74	['ROPN1L', 'ASP']	['ASPA', 'ACY2', 'ASP']			RXN-13680,ASPARTOACYLASE-RXN	RXN-13680,ASPARTOACYLASE-RXN																				
LRTOMT	Q96E66	['LRTOMT', 'LRRC51']	['LRTOMT', 'COMT2', 'PP7517', 'TOMT']	noradrenaline and adrenaline degradation	PWY-6342	RXN-10906,RXN-10909,3,4-dihydroxymandelate O-methyltransferase,RXN-9017,CATECHOL-O-METHYLTRANSFERASE-RXN	RXN-10906,RXN-10909,RXN-10916,RXN-9017,CATECHOL-O-METHYLTRANSFERASE-RXN																				
L3HYPDH	Q96EM0	['L3HYPDH', 'C14orf149']	['L3HYPDH', 'C14orf149']			TRANS-L-3-HYDROXYPROLINE-DEHYDRATASE-RXN	TRANS-L-3-HYDROXYPROLINE-DEHYDRATASE-RXN									TRANS-L-3-HYDROXYPROLINE-DEHYDRATASE-RXN											
SAT2	Q96F10	['SAT2', 'SSAT2']	['SAT2', 'SLC38A2', 'KIAA1382', 'ATA2', 'SSAT2', 'SNAT2']	,putrescine degradation III,spermine and spermidine degradation I	,PWY-6117,PWY-0	TRANS-RXN66-1209,SPERMACTRAN-RXN,sodium dependent serine plasma membrane transport,sodium coupled leucine plasma membrane transport,RXN-9939,RXN-0,DIAMACTRANS-RXN,sodium coupled neutral amino acid transport,TRANS-RXN66-564,sodium coupled alanine plasma membrane transport,sodium coupled glycine plasma membrane transport,sodium coupled glutamine plasma membrane uptake	RXN66-455,TRANS-RXN66-1209,RXN66-453,SPERMACTRAN-RXN,RXN66-452,RXN66-419,TRANS-RXN66-1255,RXN66-457,RXN-9939,RXN-0,DIAMACTRANS-RXN,TRANS-RXN66-564					RXN-9939						TRANS-RXN66-1209,TRANS-RXN66-564									RXN66-453,RXN66-452,RXN66-419,TRANS-RXN66-1255,RXN66-457
PDXP	Q96GD0	['PDXP', 'CIN', 'PLP', 'PLPP']	['PDXP', 'PLPP', 'PLP']			RXN-14046,3.1.3.74-RXN	RXN-14046,3.1.3.74-RXN				3.1.3.74-RXN																
TRMT2B	Q96GJ1	['TRMT2B', 'CXorf34']	['TRMT2B', 'CXorf34']			TRNA-URACIL-5--METHYLTRANSFERASE-RXN	TRNA-URACIL-5--METHYLTRANSFERASE-RXN																				
SLC39A13	Q96H72	['SLC39A13', 'ZIP13']	['SLC39A13', 'ZIP13']			zinc plasma membrane transport	TRANS-RXN66-565											TRANS-RXN66-565									
WDYHV1	Q96HA8	['WDYHV1', 'C8orf32', 'NTAQ1']	['NTAQ1', 'C8orf32', 'WDYHV1']	N-end rule pathway I (eukaryotic)	PWY-7799	RXN-17879	RXN-17879							RXN-17879													
AHCYL2	Q96HN2	['AHCYL2', 'KIAA0828']	['AHCYL2', 'KIAA0828']			ADENOSYLHOMOCYSTEINASE-RXN	ADENOSYLHOMOCYSTEINASE-RXN														ADENOSYLHOMOCYSTEINASE-RXN						
VSIG2	Q96IQ7	['VSIG2', 'CTH', 'CTXL', 'UNQ2770/PRO7154']	['CTH']	cysteine biosynthesis,superpathway of methionine degradation,cysteine biosynthesis/homocysteine degradation (trans-sulfuration),hydrogen sulfide biosynthesis II (mammalian)	PWY-6292,PWY-5328,HOMOCYSDEGR-PWY,PWY66-426	RXN-15130,RXN-14048,RXN66-562,HOMOCYSTEINE-DESULFHYDRASE-RXN,RXN-15148,LCYSDESULF-RXN,RXN-15129,RXN66-534,RXN-14632	RXN-15130,RXN-14048,RXN66-562,HOMOCYSTEINE-DESULFHYDRASE-RXN,RXN-15148,LCYSDESULF-RXN,RXN-15129,RXN66-534,RXN-14632				HOMOCYSTEINE-DESULFHYDRASE-RXN,LCYSDESULF-RXN					RXN-15130,RXN66-562,RXN66-534,RXN-14632											
AKR1E2	Q96JD6	['AKR1E2', 'AKR1CL2', 'AKRDC1']	['AKR1E2', 'AKRDC1', 'AKR1CL2']			1.1.1.263-RXN	1.1.1.263-RXN																				
PBK	Q96KB5	['PBK', 'TOPK']	['PBK', 'TOPK']			2.7.12.2-RXN	2.7.12.2-RXN																				
SCYL1	Q96KG9	['SCYL1', 'CVAK90', 'GKLP', 'NTKL', 'TAPK', 'TEIF', 'TRAP', 'HT019']	['ACP5', 'TRAP']			ACID-PHOSPHATASE-RXN	ACID-PHOSPHATASE-RXN																				
COX4I2	Q96KJ9	['COX4I2', 'COX4L2']	['COX4I2', 'COX4L2']			CYTOCHROME-C-OXIDASE-RXN	CYTOCHROME-C-OXIDASE-RXN																				
CNDP1	Q96KN2	['CNDP1', 'CN1', 'CPGL2', 'UNQ1915/PRO4380']	['CNDP1', 'CN1', 'CPGL2', 'UNQ1915/PRO4380']			3.4.13.20-RXN	3.4.13.20-RXN																				
ART5	Q96L15	['ART5', 'UNQ575/PRO1137']	['ART5', 'UNQ575/PRO1137']			2.4.2.31-RXN	2.4.2.31-RXN																				
ALPK3	Q96L96	['ALPK3', 'KIAA1330', 'MAK']	['MAK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
SGK494	Q96LW2	['SGK494']	['SGK494']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PPP3R2	Q96LZ3	['PPP3R2', 'CBLP', 'PPP3RL']	['PPP3R2', 'CBLP']			3.1.3.16-RXN	3.1.3.16-RXN																				
PPM1M	Q96MI6	['PPM1M', 'PPM1E']	['PPM1M', 'PPM1E']			3.1.3.16-RXN	3.1.3.16-RXN																				
CAMK1G	Q96NX5	['CAMK1G', 'CLICK3', 'VWS1']	['CAMK1G', 'VWS1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PRAP1	Q96NZ9	['PRAP1', 'UPA', 'UNQ608/PRO1195']	['PLAU', 'URK', 'UPA']			3.4.21.73-RXN	3.4.21.73-RXN																				
TGM7	Q96PF1	['TGM7']	['TGM7', 'TGMZ']			2.3.2.13-RXN	2.3.2.13-RXN																				
TSSK2	Q96PF2	['TSSK2', 'DGSG', 'SPOGA2', 'STK22B']	['TSSK2', 'DGSG', 'SPOGA2', 'STK22B']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TSSK3	Q96PN8	['TSSK3', 'SPOGA3', 'STK22C']	['TSSK3', 'SPOGA3', 'STK22C']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PPP1R2P1	Q96PQ5	['PPP1R2P1']	['PPP1R2P1']			3.1.3.16-RXN	3.1.3.16-RXN																				
NEK1	Q96PY6	['NEK1', 'KIAA1901']	['NEK1', 'KIAA1901']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
LMTK3	Q96Q04	['LMTK3', 'KIAA1883', 'TYKLM3']	['LMTK3', 'KIAA1883', 'TYKLM3']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
CDK15	Q96Q40	['CDK15', 'ALS2CR7', 'PFTK2']	['PFTK2', 'ALS2CR7']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PPP1R10	Q96QC0	['PPP1R10', 'CAT53', 'FB19', 'PNUTS']	['PPP1R10', 'HS11478', 'PNUTS', 'CAT53', 'FB19']			3.1.3.16-RXN	3.1.3.16-RXN																				
SPACA5	Q96QH8	['SPACA5', 'LYZL5', 'SPACA5A', 'UNQ6288/PRO20753;', 'SPACA5B']	['SPACA5', 'LYZL5', 'SPACA5A', 'UNQ6288/PRO20753']			3.2.1.17-RXN	3.2.1.17-RXN																				
PSKH2	Q96QS6	['PSKH2']	['PSKH2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
MAGI1	Q96QZ7	['MAGI1', 'AIP3', 'BAIAP1', 'BAP1', 'TNRC19']	['BAP1', 'hucep-6', 'KIAA0272']			3.4.19.12-RXN	3.4.19.12-RXN																				
NACC1	Q96RE7	['NACC1', 'BTBD14B', 'NAC1']	['SCN1A', 'NAC1', 'SCN1']			TRANS-RXN66-566	TRANS-RXN66-566											TRANS-RXN66-566									
PASK	Q96RG2	['PASK', 'KIAA0135']	['PASK', 'KIAA0135']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
RPS6KC1	Q96S38	['RPS6KC1', 'RPK118']	['RPS6KC1', 'RPK118']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TESK2	Q96S53	['TESK2']	['TESK2']			2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN	2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN																				
CLCC1	Q96S66	['CLCC1', 'KIAA0761', 'MCLC']	['CLCC1', 'KIAA0761', 'MCLC']			TRANS-RXN66-1161	TRANS-RXN66-1161											TRANS-RXN66-1161									
CAMK2N2	Q96S95	['CAMK2N2']	['CAMK2N2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PPP1R9B	Q96SB3	['PPP1R9B', 'PPP1R6']	['PPP1R3D', 'PPP1R6']			3.1.3.16-RXN	3.1.3.16-RXN																				
SRPK1	Q96SB4	['SRPK1']	['SRPK1', 'SFRSK1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
MYCBP	Q99417	['MYCBP', 'AMY1']	['AMY1A', 'HS10840', 'AMY1']			ALPHA-AMYL-RXN,3.2.1.1-RXN,RXN0-5181,RXN-1823,RXN-1825	ALPHA-AMYL-RXN,3.2.1.1-RXN,RXN0-5181,RXN-1823,RXN-1825																				
PARK7	Q99497	['PARK7']	['PARK7', 'DJ1']			RXN-17630,RXN-17632,RXN-17634	RXN-17630,RXN-17632,RXN-17634									RXN-17630,RXN-17632,RXN-17634											
MIPEP	Q99797	['MIPEP', 'MIP']	['MIPEP', 'MIP']			3.4.24.59-RXN	3.4.24.59-RXN																				
TEP1	Q99973	['TEP1', 'TLP1', 'TP1']	['PTEN', 'MMAC1', 'TEP1']	3-phosphoinositide degradation,superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism,D-myo-inositol (1,3,4)-trisphosphate biosynthesis	PWY-6368,PWY-6358,PWY-6364	3.1.3.67-RXN,RXN-10947,PHOSPHATIDYLINOSITOL-3-PHOSPHATASE-RXN,3.1.3.62-RXN,3.1.3.16-RXN,PROTEIN-TYROSINE-PHOSPHATASE-RXN	3.1.3.67-RXN,RXN-10947,PHOSPHATIDYLINOSITOL-3-PHOSPHATASE-RXN,3.1.3.62-RXN,3.1.3.16-RXN,PROTEIN-TYROSINE-PHOSPHATASE-RXN									PHOSPHATIDYLINOSITOL-3-PHOSPHATASE-RXN,3.1.3.62-RXN											
GDF15	Q99988	['GDF15', 'MIC1', 'PDF', 'PLAB', 'PTGFB']	['PDF', 'PDF1A']			3.5.1.88-RXN	3.5.1.88-RXN																				
GAL3ST1	Q99999	['GAL3ST1', 'CST']	['GAL3ST1', 'CST']	gala-series glycosphingolipids biosynthesis	PWY-7840	RXN-18303,RXN-18301,GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN	RXN-18303,RXN-18301,GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN							RXN-18301,GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN													
TREX2	Q9BQ50	['TREX2']	['TREX2']			3.1.11.2-RXN	3.1.11.2-RXN																				
FAM110A	Q9BQ89	['FAM110A', 'C20orf55', 'F10']	['F10', 'FXA', 'FX']			3.4.21.6-RXN	3.4.21.6-RXN																				
EIF2AK1	Q9BQI3	['EIF2AK1', 'HRI', 'KIAA1369', 'PRO1362']	['EIF2AK1', 'HRI', 'KIAA1369', 'PRO1362']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
NTPCR	Q9BSD7	['NTPCR', 'C1orf57']	['NTPCR', 'C1orf57']	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,pyrimidine deoxyribonucleotides de novo biosynthesis,pyrimidine deoxyribonucleotides biosynthesis from CTP	PWY-7211,PWY-7184,PWY-7210	RXN-11109,ATPASE-RXN,RXN0-5462,RXN-12196,RXN-12195,NUCLEOSIDE-TRIPHOSPHATASE-RXN	RXN-11109,ATPASE-RXN,RXN0-5462,RXN-12196,RXN-12195,NUCLEOSIDE-TRIPHOSPHATASE-RXN									RXN-12196,RXN-12195,NUCLEOSIDE-TRIPHOSPHATASE-RXN											
NAA11	Q9BSU3	['NAA11', 'ARD1B', 'ARD2']	['NAA11', 'ARD2', 'hARD2', 'ARD1B']			PEPTIDE-ALPHA-N-ACETYLTRANSFERASE-RXN	PEPTIDE-ALPHA-N-ACETYLTRANSFERASE-RXN																				
MTG1	Q9BT17	['MTG1', 'GTPBP7']	['MTG1', 'GTPBP7']			RXN0-5462	RXN0-5462																				
ALKBH7	Q9BT30	['ALKBH7', 'ABH7', 'SPATA11', 'UNQ6002/PRO34564']	['ALKBH7', 'SPATA11', 'UNQ6002/PRO34564']			RXN-12353,RXN0-984,RXN0-985,RXN0-986	RXN-12353,RXN0-984,RXN0-985,RXN0-986																				
DUSP26	Q9BV47	['DUSP26', 'DUSP24', 'LDP4', 'MKP8', 'NATA1', 'SKRP3']	['DUSP26', 'DUSP24', 'LDP4', 'MKP8', 'NATA1', 'SKRP3']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
NTMT1	Q9BV86	['NTMT1', 'C9orf32', 'METTL11A', 'NRMT', 'NRMT1', 'AD-003']	['NTMT1', 'AD-003', 'C9orf32', 'METTL11A']			RXN-13226,RXN-13227,RXN-13228,RXN-13225,protein N-terminal methyltransferase,protein N-terminal methyltransferase,RXN-13224	RXN-13226,RXN-13227,RXN-13228,RXN-13225,RXN-12889,RXN-12890,RXN-13224																				RXN-13226,RXN-13225
DUSP23	Q9BVJ7	['DUSP23', 'LDP3', 'VHZ']	['DUSP23', 'LDP3', 'VHZ']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
TMUB1	Q9BVT8	['TMUB1', 'C7orf21', 'DULP', 'HOPS', 'SB144', 'UNQ763/PRO1555']	['ALPL', 'AP-TNAP', 'TNSALP', 'TNAP', 'HOPS']			ALKAPHOSPHA-RXN	ALKAPHOSPHA-RXN																				
KATNAL1	Q9BW62	['KATNAL1']	['KATNAL1']			3.6.4.3-RXN	3.6.4.3-RXN																				
PAPOLG	Q9BWT3	['PAPOLG', 'PAP2', 'PAPG']	['PAPOLG', 'PAP2', 'PAPG']			POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN																				
TSSK6	Q9BXA6	['TSSK6', 'SSTK', 'FKSG82']	['TSSK6', 'FKSG82', 'SSTK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
TSSK1B	Q9BXA7	['TSSK1B', 'SPOGA1', 'SPOGA4', 'STK22A', 'STK22D', 'TSSK1', 'FKSG81']	['TSSK1B', 'FKSG81', 'SPOGA1', 'SPOGA4', 'STK22A', 'STK22D', 'TSSK1']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
NAA15	Q9BXJ9	['NAA15', 'GA19', 'NARG1', 'NATH', 'TBDN100']	['NAA15', 'GA19', 'NATH', 'TBDN100', 'NARG1']			RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859	RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859									RXN-17864,RXN-17863,RXN-17862,RXN-17861,RXN-17860,RXN-17859											
ERVK-6	Q9BXR3	['ERVK-6', 'ERVK6']	['ERVK6']			3.1.26.4-RXN,3.4.24.55-RXN,3.4.21.83-RXN,3.4.21.92-RXN,3.4.21.87-RXN	3.1.26.4-RXN,3.4.24.55-RXN,3.4.21.83-RXN,3.4.21.92-RXN,3.4.21.87-RXN																				
STK31	Q9BXU1	['STK31', 'SGK396']	['STK31', 'SGK396']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
SRXN1	Q9BYN0	['SRXN1', 'C20orf139', 'SRX']	['SRXN1', 'C20orf139', 'SRX']			1.8.98.2-RXN	1.8.98.2-RXN																				
STK33	Q9BYT3	['STK33']	['STK33']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
ACPT	Q9BZG2	['ACPT']	['ACPT']			ACID-PHOSPHATASE-RXN	ACID-PHOSPHATASE-RXN																				
TPSD1	Q9BZJ3	['TPSD1']	['TPSD1', 'mMCP-7-like II', 'mMCP-7-like I', 'MMCP-7-LIKE-2', 'MMCP-7-LIKE-1']			3.4.21.59-RXN	3.4.21.59-RXN																				
DCLK3	Q9C098	['DCLK3', 'DCAMKL3', 'DCDC3C', 'KIAA1765']	['DCLK3', 'DCAMKL3', 'DCDC3C', 'KIAA1765']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
POLR2J2	Q9GZM3	['POLR2J2']	['POLR2J2', 'G66-32579', 'HRPB11B']			DNA-DIRECTED-RNA-POLYMERASE-RXN	DNA-DIRECTED-RNA-POLYMERASE-RXN																				
CTDSP1	Q9GZU7	['CTDSP1', 'NIF3', 'NLIIF', 'SCP1']	['CTDSP1', 'NIF3', 'NLIIF', 'SCP1']			3.1.3.16-RXN	3.1.3.16-RXN																				
AICDA	Q9GZX7	['AICDA', 'AID']	['AICDA', 'AID']			RXN-13993	RXN-13993																			RXN-13993	
NAA50	Q9GZZ1	['NAA50', 'MAK3', 'NAT13', 'NAT5']	['NAA50', 'MAK3', 'NAT5', 'NAT13']			RXN-17867,RXN-17868,RXN-17869,RXN-17870,RXN-17871,RXN-17856,RXN-17858,RXN-17854	RXN-17867,RXN-17868,RXN-17869,RXN-17870,RXN-17871,RXN-17856,RXN-17858,RXN-17854																				RXN-17867,RXN-17868,RXN-17869,RXN-17870,RXN-17871,RXN-17856,RXN-17858,RXN-17854
LSG1	Q9H089	['LSG1']	['LSG1']			RXN0-5462	RXN0-5462																				
NUAK2	Q9H093	['NUAK2', 'OMPHK2', 'SNARK']	['NUAK2', 'SNARK']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
ILKAP	Q9H0C8	['ILKAP']	['ILKAP', 'DKFZP434J2031', 'PP2C-DELTA', 'FLJ10181', 'MGC4846']			3.1.3.16-RXN	3.1.3.16-RXN																				
TKTL2	Q9H0I9	['TKTL2']	['TKTL2']			1TRANSKETO-RXN,2TRANSKETO-RXN	1TRANSKETO-RXN,2TRANSKETO-RXN																				
PARP12	Q9H0J9	['PARP12', 'ZC3HDC1']	['PARP12', 'ZC3HDC1']			NAD+-ADP-RIBOSYLTRANSFERASE-RXN	NAD+-ADP-RIBOSYLTRANSFERASE-RXN																				
SIK2	Q9H0K1	['SIK2', 'KIAA0781', 'QIK', 'SNF1LK2']	['SIK2', 'KIAA0781', 'QIK', 'SNF1LK2']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PCBD2	Q9H0N5	['PCBD2', 'DCOH2', 'DCOHM']	['PCBD2', 'DCOH2', 'DCOHM']	phenylalanine degradation/tyrosine biosynthesis	PHENYLALANINE-DEG1-PWY	RXN-7908	RXN-7908					RXN-7908															
QRSL1	Q9H0R6	['QRSL1']	['QRSL1', 'DKFZP564C1278', 'FLJ13447', 'FLJ12189']	L-glutamine tRNA biosynthesis	PWY-5921	6.3.5.6-RXN,6.3.5.7-RXN	6.3.5.6-RXN,6.3.5.7-RXN																				
XYLT2	Q9H1B5	['XYLT2', 'XT2', 'UNQ3058/PRO9878']	['XYLT2', 'UNQ3058/PRO9878', 'XT2']	dermatan sulfate biosynthesis,chondroitin sulfate biosynthesis,heparan sulfate biosynthesis,glycoaminoglycan-protein linkage region biosynthesis	PWY-6571,PWY-6569,PWY-6564,PWY-6557	2.4.2.26-RXN	2.4.2.26-RXN																2.4.2.26-RXN				
DUSP15	Q9H1R2	['DUSP15', 'C20orf57', 'VHY']	['DUSP15', 'C20orf57', 'VHY']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
MYLK2	Q9H1R3	['MYLK2']	['MYLK2', 'skMLCK', 'MLCK', 'KMLC']			2.7.11.18-RXN	2.7.11.18-RXN																				
SLK	Q9H2G2	['SLK', 'KIAA0204', 'STK2']	['STK2', 'KIAA0204', 'MGC45350', 'SLK', 'FYN', 'SYN']			PROTEIN-KINASE-RXN,2.7.10.1-RXN	PROTEIN-KINASE-RXN,2.7.10.1-RXN																				
TAOK3	Q9H2K8	['TAOK3', 'DPK', 'JIK', 'KDS', 'MAP3K18']	['TAOK3', 'DPK', 'JIK', 'KDS', 'MAP3K18']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PTPN23	Q9H3S7	['PTPN23', 'KIAA1471']	['PTPN23', 'KIAA1471']			PROTEIN-TYROSINE-PHOSPHATASE-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN																				
HIPK3	Q9H422	['HIPK3', 'DYRK6', 'FIST3', 'PKY']	['HIPK3', 'DYRK6', 'FIST3', 'PKY']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
RNPEP	Q9H4A4	['RNPEP', 'APB']	['RNPEP', 'APB']			RXN0-5204,3.4.11.6-RXN	RXN0-5204,3.4.11.6-RXN																				
OSGEPL1	Q9H4B0	['OSGEPL1', 'GCP1']	['OSGEPL1']			3.4.24.57-RXN	3.4.24.57-RXN																				
DUSP21	Q9H596	['DUSP21', 'LMWDSP21']	['DUSP21', 'LMWDSP21']			PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN	PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.16-RXN																				
POMK	Q9H5K3	['POMK', 'SGK196']	['POMK', 'SGK196']	protein O-mannosylation III (mammals, core M3)	PWY-7979	RXN-19397	RXN-19397															RXN-19397					
PIF1	Q9H611	['PIF1', 'C15orf20']	['PIF1', 'C15orf20']			RXN0-4261	RXN0-4261																				
EPHX3	Q9H6B9	['EPHX3', 'ABHD9']	['EPHX3', 'ABHD9']			RXN-12134,RXN-12140,RXN-12141,RXN-12142	RXN-12134,RXN-12140,RXN-12141,RXN-12142																				
TUT1	Q9H6E5	['TUT1', 'RBM21']	['TUT1', 'RBM21', 'G66-32486', 'FLJ22267', 'FLJ21850', 'FLJ22347', 'PAPD2']			RNA-URIDYLYLTRANSFERASE-RXN	RNA-URIDYLYLTRANSFERASE-RXN																				
AZI2	Q9H6S1	['AZI2', 'NAP1', 'TBKBP2']	['NAA25', 'C12orf30', 'NAP1', 'MDM20']	N-end rule pathway I (eukaryotic)	PWY-7799	RXN-17853,RXN-17852,RXN-17851,RXN-17850	RXN-17853,RXN-17852,RXN-17851,RXN-17850															RXN-17853,RXN-17852,RXN-17851,RXN-17850					
ELAC1	Q9H777	['ELAC1', 'D29']	['ELAC1', 'D29']			3.1.26.11-RXN	3.1.26.11-RXN																				
PEAK1	Q9H792	['PEAK1', 'KIAA2002']	['SGK269', 'KIAA2002']			2.7.10.1-RXN	2.7.10.1-RXN																				
NAA60	Q9H7X0	['NAA60', 'HAT4', 'NAT15', 'UNQ2771/PRO7155']	['NAA60', 'UNQ2771/PRO7155', 'NAT15']			RXN-17872	RXN-17872									RXN-17872											
FKRP	Q9H9S5	['FKRP']	['FKRP', 'FLJ12576', 'MGC2991', 'LGMD2I', 'MDC1C']	alpha-dystroglycan glycosylation	PWY-7981	RXN-19401	RXN-19401									RXN-19401											
SIAE	Q9HAT2	['SIAE', 'YSG2']	['SIAE', 'YSG2']			RXN-13181	RXN-13181																				
CLK4	Q9HAZ1	['CLK4']	['CLK4']			2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN	2.7.11.18-RXN,2.7.11.2-RXN,2.7.12.1-RXN																				
SCPEP1	Q9HB40	['SCPEP1', 'RISC', 'SCP1', 'MSTP034', 'UNQ265/PRO302']	['CTDSP1', 'NIF3', 'NLIIF', 'SCP1']			3.1.3.16-RXN	3.1.3.16-RXN																				
PATZ1	Q9HBE1	['PATZ1', 'PATZ', 'RIAZ', 'ZBTB19', 'ZNF278', 'ZSG']	['PATZ1', 'PATZ', 'RIAZ', 'ZBTB19', 'ZNF278', 'ZSG']			PROTEIN-KINASE-RXN	PROTEIN-KINASE-RXN																				
PDF	Q9HBH1	['PDF', 'PDF1A']	['PDF', 'PDF1A']			3.5.1.88-RXN	3.5.1.88-RXN																				
